badge,prize,prize+expenses,address,location,Bathrooms,href,description,published-date,Area,Environments,Bedrooms,expenses,Garage
$,33000,37500,3 de Febrero 2900. Entre Av. mitre y La merced,"Caseros, Tres de Febrero",1,/propiedades/departamento-3-ambientes.-3-de-febrero-al-2900-47964228.html,Departamento 3 Ambientes. | 3 de Febrero Al 2900,Publicado hace 31 días,55,3,2,4500.0,
$,19000,19000,Ciudad Jardín Lomas del Palomar,"Ciudad Jardín Lomas del Palomar, Tres de Febrero",,/propiedades/monoambiente-en-alquiler.-excelente-estado.-muy-buena-47820393.html,Monoambiente en Alquiler. Excelente Estado. Muy Buena Ubicacion en Ciudad Jardin,Publicado hoy,,,,,
$,24700,24700,Ciudad Jardín Lomas del Palomar,"Ciudad Jardín Lomas del Palomar, Tres de Febrero",,/propiedades/departamento-en-alquiler-ciudad-jardin-47753666.html,Departamento en Alquiler Ciudad Jardin,Publicado hoy,,,,,
$,17000,19800,Caseros,"Caseros, Tres de Febrero",1,/propiedades/departamento-monoambiente.-urquiza-av-gral-4543-47932015.html,Departamento Monoambiente. | Urquiza Av Gral 4543,Publicado hace 38 días,26,1,,2800.0,
$,20000,21100,Guarmini al 5500,"Caseros, Tres de Febrero",1,/propiedades/alquiler-departamento-caseros-47925779.html,Alquiler Departamento - Caseros,Publicado hace 39 días,60,1,1,1100.0,
$,22000,25300,Caseros,"Caseros, Tres de Febrero",1,/propiedades/departamento-2-ambientes.-san-martin-av-2665-47917759.html,Departamento 2 Ambientes. | San Martin Av 2665,Publicado hace 4 días,35,2,1,3300.0,
$,17000,19200,JOSE MURIAS 2000. Entre Fischetti y Wenceslao de tata,"Caseros, Tres de Febrero",1,/propiedades/en-alquiler-monoambiente-caseros.-47909576.html,"En Alquiler Monoambiente, Caseros.",Publicado hace 44 días,28,1,,2200.0,
$,28000,28600,"Mitre 2975, 1ER Piso, DTO 4","Caseros, Tres de Febrero",1,/propiedades/departamento-caseros-47906512.html,Departamento - Caseros,Publicado hace 44 días,51,2,1,600.0,
$,23000,23600,LA Merced al 4800,"Caseros, Tres de Febrero",1,/propiedades/departamento-caseros-47904615.html,Departamento - Caseros,Publicado hace 45 días,40,2,1,600.0,
$,17000,17000,San Leonardo Murialdo 1900,"Caseros, Tres de Febrero",1,/propiedades/monoambiente-en-alquiler-en-caseros-47903351.html,Monoambiente en Alquiler en Caseros,Publicado hace 45 días,27,1,,,
$,20000,22000,Jose Murias 2078,"Caseros, Tres de Febrero",1,/propiedades/departemento-de-1-ambiente-caseros-norte-47895239.html,Departemento de 1 Ambiente Caseros Norte,Publicado hace 46 días,32,,,2000.0,
$,20000,22500,Belgrano 4967,"Caseros, Tres de Febrero",1,/propiedades/departamento-de-un-ambiente-47895302.html,Departamento de un Ambiente,Publicado hace 46 días,32,1,,2500.0,
$,23000,26500,Avenida San Martin 1200,"Caseros, Tres de Febrero",1,/propiedades/departamento-en-alquiler-en-caseros-46121158.html,Departamento en Alquiler en Caseros,Publicado hace 49 días,36,2,1,3500.0,
$,25000,27000,"David Magdalena 2850, 4TO D","Caseros, Tres de Febrero",1,/propiedades/departamento-caseros-47849218.html,Departamento - Caseros,Publicado hace 57 días,,1,,2000.0,1
$,27000,29800,Martín Coronado,"Martín Coronado, Tres de Febrero",1,/propiedades/en-martin-coronado:-en-alquiler-departamento-de-3-47844236.html,En Martin Coronado: en Alquiler Departamento de 3 Ambientes en 1er Piso y Medio; con Dos Dormitorio,Publicado hace 52 días,60,3,2,2800.0,
$,17000,19800,Gral. Manuel Belgrano 4800. Entre Andrés ferreyra y 3 de febrero,"Caseros, Tres de Febrero",1,/propiedades/depto-monoambiente-en-caseros-zona-centro.-apto-47847410.html,Depto Monoambiente en Caseros Zona Centro. Apto Profesional,Publicado hace 58 días,30,1,,2800.0,
$,35000,35000,Perdiguero 1200 PB,"Caseros, Tres de Febrero",1,/propiedades/departamento-de-3-ambientes-en-planta-baja-47818577.html,Departamento de 3 Ambientes en Planta Baja,Publicado hace 61 días,50,3,2,,
$,19000,20700,alicia moreau de justo 2978,"Caseros, Tres de Febrero",1,/propiedades/reservado-alquiler-depto-2-amb-con-balcon-caseros-47812272.html,Reservado//alquiler - Depto 2 Amb con Balcon - Caseros Centro,Publicado hace 47 días,36,2,1,1700.0,
$,28000,29000,Perdiguero 2000,"Caseros, Tres de Febrero",1,/propiedades/departamento-en-alquiler-en-caseros-47805605.html,Departamento en Alquiler en Caseros,Publicado hace 64 días,40,2,1,1000.0,
$,22500,22500,"Peru 3219, P.alta","Caseros, Tres de Febrero",1,/propiedades/departamento-caseros-47774353.html,Departamento - Caseros,Publicado hace 71 días,45,2,1,,
$,18000,18000,Av. San Martin 1300. Entre Marco polo y Aristobulo del valle,"Caseros, Tres de Febrero",1,/propiedades/departamento-1-ambiente.-av-san-martin-al-1300-47765076.html,Departamento 1 Ambiente. | Av San Martin Al 1300,Publicado hace 9 días,28,1,1,,1
$,18000,18000,Av. San Martin 2200. Entre Juan bautista alberdi y Dr. amadeo sabattini,"Caseros, Tres de Febrero",1,/propiedades/depto-monoambiente-con-patio-en-caseros-47765056.html,Depto Monoambiente con Patio en Caseros,Publicado hace 33 días,55,1,,,
$,26000,26000,Campo de Mayo 7385,"Martín Coronado, Tres de Febrero",1,/propiedades/departamento-tipo-casa-dos-ambientes-al-fondo-47743345.html,Departamento Tipo Casa Dos Ambientes Al Fondo,Publicado hace 16 días,89,2,1,,
$,20000,20000,GUAMINI 5100,"Caseros, Tres de Febrero",1,/propiedades/departamento-en-alquiler-en-caseros-47741388.html,Departamento en Alquiler en Caseros,Publicado hace 75 días,80,2,1,,
$,24000,27100,Caseros,"Caseros, Tres de Febrero",1,/propiedades/departamento-2-ambientes.-de-tata-wenceslao-4941-47680156.html,Departamento 2 Ambientes. | de Tata Wenceslao 4941,Publicado hace 89 días,31,2,1,3100.0,
$,25000,25000,Quintana 1242,"Villa Bosch, Tres de Febrero",1,/propiedades/departamento-dos-ambientes-interno-47672410.html,Departamento Dos Ambientes Interno,Publicado hace 88 días,50,2,1,,
$,23000,23000,GOMEZ VALENTIN 4816. Entre Tres de febrero y Ferreyra andres,"Caseros, Tres de Febrero",1,/propiedades/departamento-monoambiente.-gomez-valentin-4816-47641342.html,Departamento Monoambiente. | Gomez Valentin 4816,Publicado hace 5 días,39,1,,,
$,30000,31500,Alvear al 2600,"Caseros, Tres de Febrero",1,/propiedades/departamento-caseros-47623308.html,Departamento - Caseros,Publicado hace 100 días,,3,2,1500.0,
$,22000,25000,BONIFACINI 4854. Entre Murias y Medina,"Caseros, Tres de Febrero",,/propiedades/departamento-monoambiente.-bonifacini-4854-47609990.html,Departamento Monoambiente. | Bonifacini 4854,Publicado hace 93 días,38,1,,3000.0,
