badge,prize,prize+expenses,address,location,Area,Environments,Bedrooms,Bathrooms,href,description,published-date,expenses,Garage
$,20000,21100,Guarmini al 5500,"Caseros, Tres de Febrero",60,1,1,1,/propiedades/alquiler-departamento-caseros-47925779.html,Alquiler Departamento - Caseros,Publicado hace 45 días,1100.0,
$,22000,25300,Caseros,"Caseros, Tres de Febrero",35,2,1,1,/propiedades/departamento-2-ambientes.-san-martin-av-2665-47917759.html,Departamento 2 Ambientes. | San Martin Av 2665,Publicado hace 10 días,3300.0,
$,28000,28600,"Mitre 2975, 1ER Piso, DTO 4","Caseros, Tres de Febrero",51,2,1,1,/propiedades/departamento-caseros-47906512.html,Departamento - Caseros,Publicado hace 50 días,600.0,
$,23000,23600,LA Merced al 4300,"Caseros, Tres de Febrero",40,2,1,1,/propiedades/departamento-caseros-47904615.html,Departamento - Caseros,Publicado hace 51 días,600.0,
$,17000,17000,San Leonardo Murialdo 1900,"Caseros, Tres de Febrero",27,1,,1,/propiedades/monoambiente-en-alquiler-en-caseros-47903351.html,Monoambiente en Alquiler en Caseros,Publicado hace 51 días,,
$,20000,22500,Belgrano 4967,"Caseros, Tres de Febrero",32,1,,1,/propiedades/departamento-de-un-ambiente-47895302.html,Departamento de un Ambiente,Publicado hace 52 días,2500.0,
$,20000,22000,Jose Murias 2078,"Caseros, Tres de Febrero",32,,,1,/propiedades/departemento-de-1-ambiente-caseros-norte-47895239.html,Departemento de 1 Ambiente Caseros Norte,Publicado hace 52 días,2000.0,
$,23000,26500,Avenida San Martin 1200,"Caseros, Tres de Febrero",36,2,1,1,/propiedades/departamento-en-alquiler-en-caseros-46121158.html,Departamento en Alquiler en Caseros,Publicado hace 55 días,3500.0,
$,25000,27000,"David Magdalena 2850, 4TO D","Caseros, Tres de Febrero",,1,,1,/propiedades/departamento-caseros-47849218.html,Departamento - Caseros,Publicado hace 63 días,2000.0,1
$,17000,19800,Gral. Manuel Belgrano 4800. Entre Andrés ferreyra y 3 de febrero,"Caseros, Tres de Febrero",30,1,,1,/propiedades/depto-monoambiente-en-caseros-zona-centro.-apto-47847410.html,Depto Monoambiente en Caseros Zona Centro. Apto Profesional,Publicado hace 64 días,2800.0,
$,35000,35000,Perdiguero 1200 PB,"Caseros, Tres de Febrero",50,3,2,1,/propiedades/departamento-de-3-ambientes-en-planta-baja-47818577.html,Departamento de 3 Ambientes en Planta Baja,Publicado hace 67 días,,
$,24500,26500,wenceslao de tata 4529,"Caseros, Tres de Febrero",40,2,1,1,/propiedades/dos-ambiente-al-frente-40-m-47811611.html,Dos Ambiente Al Frente 40 m,Publicado hace 3 días,2000.0,
$,19000,20700,alicia moreau de justo 2978,"Caseros, Tres de Febrero",36,2,1,1,/propiedades/reservado-alquiler-depto-2-amb-con-balcon-caseros-47812272.html,Reservado//alquiler - Depto 2 Amb con Balcon - Caseros Centro,Publicado hace 53 días,1700.0,
$,28000,29000,Perdiguero 2000,"Caseros, Tres de Febrero",40,2,1,1,/propiedades/departamento-en-alquiler-en-caseros-47805605.html,Departamento en Alquiler en Caseros,Publicado hace 70 días,1000.0,
$,22500,22500,"Peru 3219, P.alta","Caseros, Tres de Febrero",45,2,1,1,/propiedades/departamento-caseros-47774353.html,Departamento - Caseros,Publicado hace 77 días,,
$,18000,18000,Av. San Martin 2200. Entre Juan bautista alberdi y Dr. amadeo sabattini,"Caseros, Tres de Febrero",55,1,,1,/propiedades/depto-monoambiente-con-patio-en-caseros-47765056.html,Depto Monoambiente con Patio en Caseros,Publicado hace 39 días,,
$,18000,18000,Av. San Martin 1300. Entre Marco polo y Aristobulo del valle,"Caseros, Tres de Febrero",28,1,1,1,/propiedades/departamento-1-ambiente.-av-san-martin-al-1300-47765076.html,Departamento 1 Ambiente. | Av San Martin Al 1300,Publicado hace 15 días,,1
$,26000,26000,Campo de Mayo 7385,"Martín Coronado, Tres de Febrero",89,2,1,1,/propiedades/departamento-tipo-casa-dos-ambientes-al-fondo-47743345.html,Departamento Tipo Casa Dos Ambientes Al Fondo,Publicado hace 22 días,,
$,24000,27100,Caseros,"Caseros, Tres de Febrero",31,2,1,1,/propiedades/departamento-2-ambientes.-de-tata-wenceslao-4941-47680156.html,Departamento 2 Ambientes. | de Tata Wenceslao 4941,Publicado hace 95 días,3100.0,
$,30000,31500,Alvear al 2600,"Caseros, Tres de Febrero",,3,2,1,/propiedades/departamento-caseros-47623308.html,Departamento - Caseros,Publicado hace 106 días,1500.0,
$,24000,26000,Caseros,"Caseros, Tres de Febrero",55,2,1,1,/propiedades/alquilo-en-caseros-hermoso-departamento-de-2-ambientes-47611287.html,Alquilo en Caseros Hermoso Departamento de 2 Ambientes a Estrenar con Fondo Propio Planta Baja Al Fr,Publicado hace 8 días,2000.0,
$,20000,23300,"Nuestra Señora de La Merced 4800. Entre Ferreyra, andres y 3 de febrero","Caseros, Tres de Febrero",32,1,,1,/propiedades/1-ambiente-alquiler-caseros-la-merced-4800-sum-47551732.html,1 Ambiente Alquiler Caseros La Merced 4800 Sum,Publicado hace 122 días,3300.0,
$,18500,19600,Alem 8098,"Martín Coronado, Tres de Febrero",45,1,,1,/propiedades/amplio-departamento-monoambiente-a-estrenar-wifi-47504353.html,Amplio Departamento Monoambiente a Estrenar Wifi,Publicado hace 22 días,1100.0,
