badge,prize,expenses,prize+expenses,address,location,Area,Environments,Bedrooms,Bathrooms,href,description,published-date,Garage
$,20000,2500.0,22500,Belgrano 4967,"Caseros, Tres de Febrero",32,1,,1,/propiedades/departamento-de-un-ambiente-47895302.html,Departamento de un Ambiente,Publicado hace 49 días,
$,23000,3500.0,26500,Avenida San Martin 1200,"Caseros, Tres de Febrero",36,2,1,1,/propiedades/departamento-en-alquiler-en-caseros-46121158.html,Departamento en Alquiler en Caseros,Publicado hace 52 días,
$,17000,2800.0,19800,Gral. Manuel Belgrano 4800. Entre Andrés ferreyra y 3 de febrero,"Caseros, Tres de Febrero",30,1,,1,/propiedades/depto-monoambiente-en-caseros-zona-centro.-apto-47847410.html,Depto Monoambiente en Caseros Zona Centro. Apto Profesional,Publicado hace 61 días,
$,35000,,35000,Perdiguero 1200 PB,"Caseros, Tres de Febrero",50,3,2,1,/propiedades/departamento-de-3-ambientes-en-planta-baja-47818577.html,Departamento de 3 Ambientes en Planta Baja,Publicado hace 64 días,
$,24500,2000.0,26500,wenceslao de tata 4529,"Caseros, Tres de Febrero",40,2,1,1,/propiedades/dos-ambiente-al-frente-40-m-47811611.html,Dos Ambiente Al Frente 40 m,Publicado hoy,
$,19000,1700.0,20700,alicia moreau de justo 2978,"Caseros, Tres de Febrero",36,2,1,1,/propiedades/reservado-alquiler-depto-2-amb-con-balcon-caseros-47812272.html,Reservado//alquiler - Depto 2 Amb con Balcon - Caseros Centro,Publicado hace 50 días,
$,28000,1000.0,29000,Perdiguero 2000,"Caseros, Tres de Febrero",40,2,1,1,/propiedades/departamento-en-alquiler-en-caseros-47805605.html,Departamento en Alquiler en Caseros,Publicado hace 67 días,
$,18000,,18000,Av. San Martin 2200. Entre Juan bautista alberdi y Dr. amadeo sabattini,"Caseros, Tres de Febrero",55,1,,1,/propiedades/depto-monoambiente-con-patio-en-caseros-47765056.html,Depto Monoambiente con Patio en Caseros,Publicado hace 36 días,
$,18000,,18000,Av. San Martin 1300. Entre Marco polo y Aristobulo del valle,"Caseros, Tres de Febrero",28,1,1,1,/propiedades/departamento-1-ambiente.-av-san-martin-al-1300-47765076.html,Departamento 1 Ambiente. | Av San Martin Al 1300,Publicado hace 12 días,1
$,26000,,26000,Campo de Mayo 7385,"Martín Coronado, Tres de Febrero",89,2,1,1,/propiedades/departamento-tipo-casa-dos-ambientes-al-fondo-47743345.html,Departamento Tipo Casa Dos Ambientes Al Fondo,Publicado hace 19 días,
$,20000,,20000,GUAMINI 5100,"Caseros, Tres de Febrero",80,2,1,1,/propiedades/departamento-en-alquiler-en-caseros-47741388.html,Departamento en Alquiler en Caseros,Publicado hace 78 días,
$,24000,3100.0,27100,Caseros,"Caseros, Tres de Febrero",31,2,1,1,/propiedades/departamento-2-ambientes.-de-tata-wenceslao-4941-47680156.html,Departamento 2 Ambientes. | de Tata Wenceslao 4941,Publicado hace 92 días,
$,25000,,25000,Quintana 1242,"Villa Bosch, Tres de Febrero",50,2,1,1,/propiedades/departamento-dos-ambientes-interno-47672410.html,Departamento Dos Ambientes Interno,Publicado hace 91 días,
$,23000,,23000,GOMEZ VALENTIN 4816. Entre Tres de febrero y Ferreyra andres,"Caseros, Tres de Febrero",39,1,,1,/propiedades/departamento-monoambiente.-gomez-valentin-4816-47641342.html,Departamento Monoambiente. | Gomez Valentin 4816,Publicado hace 8 días,
$,22000,3000.0,25000,BONIFACINI 4854. Entre Murias y Medina,"Caseros, Tres de Febrero",38,1,,,/propiedades/departamento-monoambiente.-bonifacini-4854-47609990.html,Departamento Monoambiente. | Bonifacini 4854,Publicado hace 96 días,
$,24000,2000.0,26000,Caseros,"Caseros, Tres de Febrero",55,2,1,1,/propiedades/alquilo-en-caseros-hermoso-departamento-de-2-ambientes-47611287.html,Alquilo en Caseros Hermoso Departamento de 2 Ambientes a Estrenar con Fondo Propio Planta Baja Al Fr,Publicado hace 5 días,
